0,1,2
"15 Dec 2022, 17:05",Queens of the Stone Age,The Way You Used to Do
"15 Dec 2022, 17:02",The Black Keys,Lo/Hi
"15 Dec 2022, 16:58",Deu Ruim,Led Zeppelin - D'yer Mak'er - Remaster
"15 Dec 2022, 16:53",Greta Van Fleet,You're The One
"15 Dec 2022, 16:50",blink-182,First Date
"15 Dec 2022, 16:47",Sex Pistols,God Save the Queen
"15 Dec 2022, 16:44",The Killers,Somebody Told Me
"15 Dec 2022, 16:41",Deu Ruim,Blur - Parklife - 2012 Remaster
"15 Dec 2022, 16:37",The Fratellis,Chelsea Dagger
"15 Dec 2022, 16:34",Bloc Party,Helicopter
"15 Dec 2022, 16:30",Bleachers,Rollercoaster
"15 Dec 2022, 16:26",Muse,Starlight
"15 Dec 2022, 16:23",Paramore,Still Into You
"15 Dec 2022, 16:20",The Black Keys,Your Touch
"15 Dec 2022, 16:17",Queens of the Stone Age,3's & 7's
"15 Dec 2022, 16:15",Deu Ruim,Ramones - Do You Wanna Dance? - 2017 Remaster
"15 Dec 2022, 16:11",Kings of Leon,Sex on Fire
"15 Dec 2022, 16:08",The Hives,Hate to Say I Told You So
"15 Dec 2022, 16:04",YUNGBLUD,Tissues
"15 Dec 2022, 16:01",The Cure,Friday I'm in Love
"15 Dec 2022, 15:58",Greta Van Fleet,Highway Tune
"15 Dec 2022, 15:54",The Killers,Shot at the Night
"15 Dec 2022, 15:49",Queens of the Stone Age,No One Knows
"15 Dec 2022, 15:44",Deu Ruim,David Bowie - Rebel Rebel - 2016 Remaster
"15 Dec 2022, 15:41",The Raconteurs,"Steady, as She Goes"
"15 Dec 2022, 15:37",Black Pumas,Colors
"15 Dec 2022, 15:33",Gorillaz,Feel Good Inc.
"15 Dec 2022, 15:30",Weezer,Buddy Holly
"15 Dec 2022, 15:26",Franz Ferdinand,Take Me Out
"15 Dec 2022, 15:21",Deu Ruim,Oasis - Don't Look Back In Anger - Remastered
"15 Dec 2022, 15:19",The La's,There She Goes
"15 Dec 2022, 15:16",Arctic Monkeys,I Bet You Look Good on the Dancefloor
"15 Dec 2022, 15:13",Waterparks,Lucky People
"15 Dec 2022, 15:10",Supergrass,Alright
"15 Dec 2022, 15:06",Muse,Supermassive Black Hole
"15 Dec 2022, 15:04",Klaxons,Golden Skans
"15 Dec 2022, 15:00",Franz Ferdinand,No You Girls
"15 Dec 2022, 14:56",Arctic Monkeys,R U Mine?
"15 Dec 2022, 14:51",The Cure,Just Like Heaven
"15 Dec 2022, 14:49",Vampire Weekend,A-Punk
"15 Dec 2022, 14:45",Ghost,Mary on a Cross
"15 Dec 2022, 14:42",Weezer,Island in the Sun
"15 Dec 2022, 14:37",The Strokes,Last Nite
"15 Dec 2022, 14:35",The White Stripes,Fell in Love With a Girl
"15 Dec 2022, 14:25",The Cure,Boys Don't Cry
"15 Dec 2022, 14:20",Greta Van Fleet,Light My Love
"15 Dec 2022, 14:11",Slipknot,Psychosocial
"15 Dec 2022, 14:09",Slipknot,Wait and Bleed
"15 Dec 2022, 13:59",System of a Down,Lonely Day
"15 Dec 2022, 13:54",System of a Down,B.Y.O.B.
"15 Dec 2022, 13:50",System of a Down,Aerials
"15 Dec 2022, 13:47",System of a Down,Toxicity
"15 Dec 2022, 13:43",System of a Down,Chop Suey!
"15 Dec 2022, 12:36",Derek & The Dominos,Layla
"15 Dec 2022, 12:30",Avenged Sevenfold,Nightmare
"14 Dec 2022, 23:27",The Killers,Human
